@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' 4th album #red, #20millionswifties, 6 grammy awards, 10 amas, 13 bmi awards! reigning entertainer year acm! #6yearstaylorswift ',positive,0,0,0
' midnight east coast @nickjonas birthday! happy 20th birthday nick j!!!!!!!!!! <333 ',positive,1,0,0
' monta ellis / ellis provided points 2-of-13 shooting thursday #nba #playersnews ',neutral,0,0,0
' teach basketball school, gonna spend 1st day watching larry bird videos, & rest will care itself. ',neutral,2,0,0
' @nbcofchicago 12th anniversary celebration. time - 6620 s. king dr ',positive,0,0,0
' @mysticvalley mitch free sunday bale leaves hour? big deal animals ',objective,2,0,1
' love skipped category ntas soaps. half fuck air tomorrow. ',positive,1,0,1
' york giants: game-by-game predictions 2nd half season ',objective,0,0,0
' cmon cmon sound queens will rock somehow... ',objective,2,0,0
' pick chelsea team play swansea - chelseas focus turns premier league saturday make... ',objective,1,0,0
' vision european airports full hockey players. ',neutral,0,0,1
' mom texted reminding grammys birthdays tomorrow.. forget? #biggestdayoftheyear ',positive,0,0,0
' mark athena goooo. brb reality ',positive,0,0,0
' esperance will star player youssef msakni leg champions league final al ahly saturday. #africa ',negative,2,0,1
' @chrischris__ sun: paolo di canio beating aston villa tonight sex madonna. #legend ',negative,0,0,0
' black history fact: marsalis 1st artist win classical jazz grammy awards year, repeat yr ',positive,0,1,0
' watching david letterman audience playing 2nd brilliant thing ive tonight. ',positive,1,0,0
' ht: norwich 0-0 #spurs. weve edged 1st half creating clear cut chances. bales couple decent long range efforts. ',neutral,2,2,0
' guys, marijuana law colorado, oregon, washington pass tuesday. #highhopes ',positive,0,0,0
' breezin won best pop instrumental performance 19th grammy awards ',positive,2,0,0
' wearing dublin tomorrow ready party. help. ',negative,1,0,0
' snow fall parts cny days. find best chances will 6:42 tv & online: ',neutral,2,1,0
' austin rivers tryin bucket. feel em tho 1st game league hard ',neutral,0,2,1
' text dad: "you charles dickens" 1) obvs amazon list (too late sunday) 2) surprise?! ',positive,0,0,0
' upset alert acc mens soccer: #1 maryland 4-2 wake forest late 2nd...and man earlier red card. ',negative,0,1,1
' missed noel fielding rich fulcher today, tom tilley! #samsimmons ',neutral,1,0,0
' thankfully germany now. january. dangerous though. ',negative,1,1,0
' looper amazing!!! theatre simon callows mystery charles dickens ...loving wednesday work :-) ',positive,0,1,0
' october baby, happy valentines day folks ... annual memory ',positive,1,0,0
' maddie luck saturday, solo audition britains talent! :) ~ ellie xxxxx ',positive,1,0,0
' % joe pa masks penn state sat? will psu allow stadium? bad wear it? @espngreeny ',neutral,2,1,0
' @matt1murphy yesterday?? pretty intense... ',negative,1,0,0
' mizzou commemorates win kentucky t-shirt. no, really. | dr. saturday - yahoo! sports #fb ',positive,0,0,0
' desean jackson returned punt giants, awesome ',neutral,1,0,0
' happy valentines day!!! @maziing: everyday 14th! ',positive,1,0,0
' finish reading paterno tomorrow watch football sunday monday prepare #nba2k13 release #120pagesleft ',objective,0,0,0
' @sumeetkulkarni season ends superbowl week february. ',objective,0,0,0
' introduction literature wrote woman black, particulalry read, cry #shitmyself ',negative,0,1,0
' "nick day" "#30" powder puff pants. gonna stud tomorrow lights. @l_starcevich @n_jeffries13 ',positive,0,0,0
' han mon dieu le remix de best dans dream high 2, je meurs xddd ',positive,2,0,1
' dont forget mitch daniels going steven colberts thursday. will topic? ',neutral,1,1,0
' @barackobama: running potus. job someday. ',neutral,0,0,0
' grammy caleb going freeport tomorrow chalee, ',neutral,0,0,0
' @dapper_dan1988 plans cvs work today something. get. going quarantine today ',objective,0,0,0
' full moon:oct 29th. read sun sign libra, scorpio, sag, cap, aqua pisces ',neutral,0,0,1
' drew peterson convicted, conflict going #whenwillitend #localnews #chicago ',neutral,0,1,0
' @wfan660 paterno charged. hearsay job (minimal be). reported it. rest speculation. ',neutral,0,0,0
' bensons attention, frankie feels forgotten stepchild. founding father will forget 2nd place. ',negative,1,1,1
' police, protesters clash republic day march turkey: day marking 89th anniversary founding ... ',negative,0,1,0
' congratulations #braves jason heyward gold glove honor...first j-hey kid! ',negative,2,0,0
' aww love austin rivers happy start 1st nba game...but boys, spurs! #spurs #nba ',positive,2,0,0
' steven smith biggest ass-hat #espn.... easy ',positive,1,0,0
' patrick roys game canadien selections weekends hnic rewind. ',positive,0,1,0
' huge mistake york marathon held weekend homes, food power. ',negative,0,1,1
' glass rising, warmer here, lago del desierto, argentina ',negative,0,0,0
' apple software, retail chiefs overhaul: san francisco (reuters) - apple ceo tim cook monday pushed powerful hea... ',neutral,1,0,0
' hosting day party @ spartacus friday 2-6 @ spy raleigh night! ',objective,0,0,0
' aint nun work today sorting things ',objective,0,0,0
' fabio capello: "from ive days assure russia capable good result portugal tomorrow". #cantwait ',positive,3,0,0
' parker, leonard steal okcs thunder: minutes tipoff thursday night at&t center, oklahoma ci... ',negative,0,1,0
' @kreuzer_11 hope finish trade tuesday wednesday. gagner real solid player help sabres ',positive,4,0,1
' -may- girl face earth doesnt find channing tatum attractive. #callmecrazy #justsayin #donthateme ',negative,0,0,0
' cold pizza mass 3. leg healed!! going voodoo shit. ill walking, jumping running tomorrow. ',neutral,0,2,0
' channing tatum will white oak tomorrow...for stalkers ',neutral,2,0,0
' games played week interesting super sunday! ',positive,2,0,0
' #hulu video game trailers - launch trailer: check launch trailer mass 3. added: fri oct 26 00... ',objective,0,1,0
' defense? them? @kcabe21 @pastorjoshg @ryan13c @corylethgo ',positive,0,0,0
' stacie hit packages tomorrow case going rave san fran. #priorities ',negative,1,0,0
' 5 mins candy dancer deja vu nutting 4th pump bad lol ',negative,0,1,0
' kevin hart msg november 10th going beautiful ',positive,1,0,0
' rt tutte, anche se li vedremo, costa niente. #welcometoitalyonedirection love guys. ',positive,1,0,0
' @shootingrocks cof cof~ going germany november 30 ...oh envy :) ',positive,0,1,0
' snow cancelling classes today. snowing, drive chapel hill tomorrow. appreciate ',positive,2,0,0
' #entrepreneur #angelinvestor pitch birthday party / super bowl sunday treat ',positive,2,0,0
' #oilersmobile: july 20: sam gagner | @gagns89 nice year! ',positive,1,0,0
' flight tomorrow denzel washington .. ',positive,0,0,0
' mohamed nasheeds press coni report - 31 aug 2012: @youtube ',objective,1,0,0
' calling reality tv fans: inviting li reality tv stars join google+ hangout sunday too. ',objective,1,0,0
' honesty best policy: fabio capello, russia coach: "i hoping ronaldos injury serious play tomorrow." ',negative,2,2,0
' austin rivers 1st game people sucking rookie chill ! ',negative,0,2,0
' @goatmilkstuff hello. set castle? ',neutral,0,0,0
' throwback thursday! daddy joe pa! rip to, eyes, winningest coach college footbal ',positive,0,0,0
' #oilers will gagner signing 48 hrs connected edmonton source. #msm clueless ',negative,1,0,0
' enjoying celebrity juice sleep, going fooked tomorrow ',positive,1,0,0
' woman black - legendary ghost thriller, touring dubai abu dhabi november & december. more... ',positive,1,1,0
' wednesday potus elected. move country #forward! ',neutral,0,0,1
' universe definitely expanded studying physics. @dannicolee @jessiewagnon pic.twitter.com/1pwtb6yp ',negative,1,0,0
' #hcafc loan keeper ben amos named england under-21s side face azerbaijan thursday norway sept 10. ',objective,0,0,0
' norv turner calls play action pass 1st & goal half-yard line, rivers throws pick. #chargers ',objective,0,0,0
' obama will 290 electoral votes. bets. @joenbc @morningmika ',neutral,1,0,0
' "@amianatyransky: frankie: gonna bed tomorrow me: same." boy ',positive,0,0,0
' pray mohamed morsi president egypt continue leader freedom peace. ',positive,1,0,1
' jiiiii-nob! (: ',neutral,0,0,0
' axl rose up. now. later, soon, tomorrow. now! ',negative,0,0,0
' shout boy @jshapmma fights tomorrow night las vegas #rfa card. work dont luck. ',positive,0,0,0
' moms bday 26 days omg :0 ? #sagittarius ',positive,0,0,0
' isle man thurs, ill talking safe house signing books waterstones 6.30pm. @waterstonesiom ',objective,1,1,0
' pbr & @mokbpresents bring jim white @do317 lounge october 23rd 7 pm! ',neutral,1,0,0
' happy halloween!! starting wicked wednesday listening pink floyd leonard cohen. boys tonight! yay!! ',positive,1,1,0
' austin rivers stronger, #spurs guards muscling tonight. started scored 4th. #hornets ',negative,0,0,0
' sunday november 4th olympus experts will hand currys store cambridge. 10:30am until... ',objective,1,0,0
' @megnicolelewis watch woman black. terrible night. ',negative,0,1,0
' @real_liam_payne saturday buy ticket #tmhtour belgium! happy!!!! ',positive,0,0,0
' fast :o year avril lavigne concert <3 october 25 2011, best day life :d ',positive,1,0,1
' â€œ@supremejuice_: pull scion , pull _______ .â€?84 honda civic wagovan ',neutral,0,0,0
' yep, true. torchlight ii great game. ',neutral,1,0,0
' "how continents challenge filmed on?" "21?" okay, fail 2nd grade? ',negative,0,2,0
' @timocchipinti going boys girls club clean tomorrow 10am. told bring boots gloves. welcome. ',positive,1,0,0
' david letterman interesting monday. located york city. hurricane he... ',positive,1,0,0
' november: birthday month, election day, weekend san fran @adamrgarcia, naples thanksgiving, lots friends & family. yes. ',positive,1,0,0
' wide angela..rt @lestae @justsidi we? lens, wait years later. gun shuqi ready help. haha ',neutral,2,0,0
' ive tv times now. waiting call itv dancing ice though. starting famous. ',negative,0,0,0
' slap shot: nash, injury, skates davos: rick nash york rangers returned action switzerland tuesday. ',objective,0,1,0
' nikon prostaff, cant wait shoot tomorrow! pic.twitter.com/9z3dqmhu ',positive,0,0,0
' @ap hope sure care eli manning, giants pittsburgh sunday #nfl ',positive,3,0,1
' ive 2 tickets leonard cohen rosemont, il november 23 cant use. interested? face $300. ',neutral,0,0,0
' @mctachyon #peaisonfire ',objective,0,0,0
' @mittromney romney vote britain completley support !!! good luck ! ',positive,3,0,0
' wwe #raw interesting week. road dogg returned wwe royal rumble shawn michaels going raw monday ',positive,1,0,0
' "kendrick perkins led league 4th year row spm (scowls minute)" literally laughed loud ',positive,0,0,0
' #mufc xi super sunday: de gea, rafa, rio, evans, evra, clevz, nani, young, roo, chicha, rvp. you? ',objective,1,0,0
' eli manning best 4th quarter qb game! ',positive,1,0,0
' dont love jonny june, love blake miranda. ',objective,2,0,0
' lin picks loose ball trucks stuckey. unfortunately, allowed, bench 4th foul pistons reclaim lead, 67-65. ',negative,1,1,0
' sure going halloween yet. sun shine obvious, larry bird front runner now. ',negative,2,0,0
' cundiff wouldve field goal sunday, couldve eatin free 6in subway lunch! ',neutral,1,0,0
' personally dont grammy playing afl 28 hell turn now. best luck next. ',positive,2,1,0
' feel bad.. boo asia bday event cancelled sunday!... soooo forward ',negative,0,0,1
' dirty jim close out. not, started hearing comparisons cundiff town. ',neutral,0,2,0
' mid tennessee vs. western kentucky game, hear gonna play 2nd annual ogalla, nebraska snail chuckin pageant. ',neutral,0,0,0
' sophia grace rosie! cant wait ellen tomorrow! xxx @theellenshow @princesssgb @princessrgm pic.twitter.com/abvxnwqb ',positive,1,0,0
' going bullet valentine o2 academy glasgow glasgow, united kingdom - mar 13 ',neutral,0,1,0
' people & power travels egypt april 6th activists faring mohamed morsis election. ',objective,0,0,1
' shit, yeah, thursday, russell howards good news celebrity juice ',positive,2,0,0
' pretty good thursday night @juliecbirch! rivers sucking bad! # @ qualcomm stadium ',positive,2,0,0
' change yesterday. day, hope tomorrow. (anonymous) ',negative,1,0,0
' wonderful workshop thursday sag office carol nadell selective casting. a... ',positive,2,1,0
' @sarahjenne 2nd ryan budget years ago, didnt include mitts times president and.. ',objective,0,0,0
' eli manning credit win. truth sundays game blowout. ',neutral,1,1,0
' charles dickens life. #thisisme ',neutral,0,0,0
' going buffalo wild wings tomorrow life long friend israel brother.. call good night. #knicksnation ',positive,2,2,0
' 7:15pm tomorrow night denzel! #flight cant wait! ',positive,0,0,0
' apple ceo apologizes error-ridden map app - apple ceo tim cook apologized friday company&#039;s erro... ',positive,0,0,0
' die hard movie coming feb 14.. bruce willis going valentines date:o) ',positive,0,1,0
' @youtube video anonymous - remember, remember 5th november ',positive,0,0,0
' hello man pointy, multicoloured, snake skin cowboy boots, suit axl roses hair, youve friday heart happier. ',positive,2,0,0
' chael starts fuel tv october 1st ',objective,0,0,0
' hmm, living movie ground hog day, grandma jan isaac weekend ',objective,0,0,0
' gotta flight tomorrow denzel greatest actor ',positive,1,0,0
' this! rt @dianasproveri: making @yvettenbrown happy. "yvette" lemon/lavender #cupcakes @coffeeplusfood! ',negative,0,0,0
' anonymous asked: beard tweetd intense message tuesday abit halloween partys she... ',neutral,0,0,1
' #ladsontour mon boys !!!!!!!!!!!!!!!!!!!!! 1 thing missin #banjoooooooooooooooooo nooooooooo ',neutral,0,0,0
' axl rose bose rolls, concrete rose rose, counted dollars fore sun rose ',neutral,1,0,0
' played dishonored (360), darksiders 2 (360) mass 3 (360) 24 hours. ',neutral,0,0,0
' scariest man alive. kendrick perkins close 2nd "@jemelehill ray lewis human born indoor voice ',negative,0,2,0
' live video? soul train whip dazz band.mpg: @youtube ',positive,1,0,0
' chargers 8-8 will playoffs afc... nfc teams win 10 games! fact! @mikehillespn @mortreport @edwerderespn @pti ',neutral,1,0,0
' sat room sticking postcards tehran wall god long. invented teleporting machine yet? ',negative,0,0,0
' find sleep.. long day weekend ahead me.. ',positive,0,1,0
' hahahaha spanish people nadals box smiling break 5th set hahahahahaha #rewatchingaofinal ',positive,1,1,0
' sick beard: download finished: 3rd rock sun - 5x11 - dick puts cupid ',objective,0,1,0
' sundays sag friday idaho.....boring fuck! ',negative,0,1,0
' monday job fourth time. life groundhog day movie. ',objective,0,0,0
' harry redknapp heavily linked position blackburn manager today. however, qpr begun courting already... ',neutral,0,1,1
' @_warrendavis packers win superbowl xlvii ',negative,0,0,0
' yo excited royal rumble book monday work watch ',positive,1,0,0
' @nickjonas happy 20th birthday nick j! hope best! youve accomplished already... come. love you! ',positive,3,0,0
' #factsaboutme born. day , 2nd day chinese year. , lots redpacket :d ',positive,0,0,0
' monta ellis / ellis points 1-of-11 shooting friday #nba ',objective,0,0,0
' baltimore team mascots missing 1st person interest billy cundiff! redskins mascot blame him! ',neutral,1,1,0
' hope ticket #1d concert belgium!!!you cant order till saturday!pfff...:s ',positive,1,0,0
' low-fat oasis - edmonton sun: low-fat oasisedmonton sunpoor noel gallagher -- ba... ',objective,1,0,0
' egypts morsi red carpet iran: tehran, aug 29: egypts mohamed morsi iran visit... ',positive,0,0,0
' seattle portland knit covered california sun, san fran. kinda love it. ',positive,1,0,0
' estou ouvindo brown eyes live @ friday jonathan ross - lady gaga @lastfm ',neutral,1,1,0
' niggas fighting gas station sat night tho ',negative,0,0,0
' @fueltv @danaehite holland?! countdown ufc 153: silva vs. bonnar debuts tuesday fuel tv ',objective,0,0,0
' #.:aubig black leather camera case bag pouch case strap olympus om-d omd em5 e-m5 cyber monday deals ',neutral,0,1,0
' @raggyrach wednesday going disney one. chance avril will universal night #wimp ',negative,2,0,0
' @corrreen bullet valentine year? them? presale starts tomorrow morning! ',neutral,0,0,0
' yay bruno mars coming album december 11th.(; it!! ',positive,0,0,0
' like.. fuck "happy valentines day" trending 12th june? anyways, knew celebrated brasil. xx ',positive,1,0,1
' @immortaltech dublin saturday... gotta guinness!! ',neutral,0,0,0
' addicted temple worst thing happened haha. ',negative,0,1,0
' @justinbieber gonna louisville, kentucky tomorrow & cant show. guess ill sit listen music & pretend ',negative,0,2,0
' #loanwatch: ben amos (hull city) extra time 1-1, 1st round league cup. ',neutral,0,0,0
' michael jackson bad 25 will air november 22 abc. sure watch it! :) ',objective,2,1,1
' @bryn2renner forget dook series anyways! "beat state" saturday continue succesful season. ',positive,0,1,0
' theo evra saturday. wenger happen. ',positive,0,0,0
' forward illegal eagles dorking tomorrow night lin & amigo. best eagles tribute band around. #illegaleagles ',positive,2,1,0
' happy valentines day brazilian friends! ',positive,1,0,0
' anonymous asked: chance topless tuesday? ',neutral,0,0,0
' pakistan approves liberalised visa accord india - islamabad, nov 1 (ians) pakistan approved liberalised v... ',positive,1,0,0
' fabio capello (russias head-coach) wishes cristianos injury serious. (russia will play portugal tomorrow wcq) ',negative,2,1,0
' hey nevada tweeps remember tomorrow day early voting! ready, set & vote! #justdoit! ',neutral,0,0,0
' observers un, eu, cw, send coni , observers maldivian live tvs 7 feb day dream, ',neutral,1,0,0
' fuck halloween. fuck thanksgiving. fuck birthday. fuck christmas, year, valentines, st. patricks, april fools. fuck that. ',negative,0,0,0
' mother "whats gucci mah nigguh!" me, listening "niggas paris", worried? ',neutral,0,0,0
' dumb thing, now. new, long term goal: challenge ',neutral,0,3,0
' highlight monday chucking mattress stairs hit eleanor face, causing fall stairs ',neutral,1,1,0
' loved hair style fridays jason wu #nyfw show? step-by-step recreate ',positive,0,0,0
' sad #knutsfordlitfest end. fantastic event night michael portillo. event tomorrow charles dickens. ',neutral,1,1,0
' profile sandro. kind love him. ',positive,2,0,0
' @echelleprakash 1st imma play headlock, safe sound, gonna play star. hmmmm ',neutral,1,0,0
' dad: going athens tomorrow? me: nothing. dad: oh. ok. fun. father. ',positive,0,0,0
' dont surprised waiting november 16th find potus is... #ohioprovisionalballot ',negative,0,0,0
' rugby tonight freezing omg die ',negative,0,0,0
' going rugby practice sunday #somethingisayalot ',objective,0,0,0
' mercury prize tv? where? field music vote, win tomorrows gig blinder! ',positive,1,0,0
' asia stocks us, china data: asian stock markets advanced friday batch upbeat economic data u.s. chi... ',positive,2,0,0
' breaking dawn coming 16th , yayyy ',positive,1,0,0
' celebrate chinese year #shanghai (around february) dragon dance spring festival! amazing experience! ',positive,3,1,0
' disappointing uk govt issueing reassuring messages tehran influenced @nigel_farage :) ',negative,0,1,0
' footage studio bullet valentine finished recording upcoming 4th album.... ',objective,0,0,0
' bought 1st heineken beer las vegas. ps ive lived 5 yrs ~what long! pic.twitter.com/wxvobdek ',negative,0,0,0
' 20 june 2012, european tour party drove fabulous road davos stelvio. bit... ',neutral,1,0,0
' join thursday introduction dramatic reading charles dickenss christmas carol. 11/1 6-7pm. ',objective,0,0,1
' @thementalistcbs cant wait series, starts sunday britain, #redjohn ',positive,0,0,0
' published blog entry november 18 - "otherwise sheila great" art county. ',positive,0,0,0
' dr. mohamed morsi announced egypts elected president glorious 25th jan revolution. congratulations ',positive,2,0,0
' northern lights sale thursday; great pedigrees catalogue! genomics full packages! view catalogue online! ',positive,1,0,2
' bowen cofield will better 2nd yr, hope jenkins will good preseason, unhatched eggs ',positive,5,0,0
' google+ hangout schedule--see november 21?! details here: ',objective,0,0,0
' "@purpleendorphin: tang jun christmas." valentines well!!! ',positive,0,0,0
' voted 1st lady coast 2 coast mixtape 224 hosted kendrick lamar! @messengerlady7 ',neutral,0,0,0
' news release 09 october 2012 customers negros sub-grid experienced partial outage today 5:45pm (cont) ',negative,1,0,0
' #steelers fans upset suisham missing kick. heard guy named billy cundiff available. ',neutral,0,1,0
' oh, fellating harry redknapp, 3rd round stoke season. remember that? ',neutral,0,0,0
' @discoveryuk #halloween good .. 3rd? valentines day? ? ',positive,1,0,0
' @mostdumbestlaws: betrayed wife legally allowed kill adulterous husband, bare hands. (hong kong) ',negative,0,1,0
' @jsitton71 eligible receiver jacksonville guys sunday. thoughts? ',neutral,1,0,0
' russell howard, cuckoo, celebrity juice, family guy, thursday night best night comedy ',positive,2,1,0
' ricky martin gay sexy af !!!!!!!! :d ',positive,1,0,0
' hey @kcrw members, shot leonard cohen tix morning @mbekcrw? @anne_litt will sunday! ',positive,1,0,0
' gonna ride love train tomorrow..dig ...soul train...ojays. .bad ass...do it... ',positive,1,0,0
' md wanna bear negros shit fun , going sunday ross snighter sunday finna pop twl ',positive,1,0,0
' nick diaz "fight gsp tomorrow ufc asked". except, know, wouldnt... suspended... ',negative,0,0,0
' tweet ever, loving san diego! busy day ready @ufc fuel tv tomorrow. ',positive,1,1,0
' thinking running australia day weekend january. good bad idea? ',neutral,1,1,1
' glittery nails come! three polishes wonderland collection @modelsown ',positive,0,0,0
' <--- icon. changing icons lot long jennette uploads pics beautiful ',positive,1,1,0
' damn, missed #cmas @ng03ruth ',neutral,0,0,0
' dr. mohammed morsi announced egypts elected president glorious 25th jan revolution.... ',positive,1,0,0
' @benthepcguy answer try! wp8 call 3rd p. apps? intents android. wanna switch wp! ',positive,0,0,1
' protest mitch daniels purdue presidential nomination tomorrow @ loeb theater 2:30 pm. bring friend! #soapurdue ',negative,0,1,0
' dr. mohamed morsi announced egypts 1st elected president glorious 25th jan revolution. congratulations #egypt! ',positive,2,0,0
' thursday night football game sucks. chiefs! hot head rivers explode sideline tonight. ',negative,1,2,0
' #saphila +1500 people superbowl sun city "discover" help "africa before" ',neutral,1,0,0
' nebraska nation-leading players first-ever senior bowl watch list released saturday... ',positive,0,0,0
' playing @garbage day prep tomorrows concert fort canning. go, baby, go! ',positive,0,0,0
' @thereidreport & potus wins 2nd term isnt nj gov gonna bashing state better shape (2/2) ',positive,1,0,0
' @mona_elashry criminals killed sadat, process killed egypt...they destroyed future young & egyptians.. ',negative,0,0,0
' watching favourite @oprah scenes (for 4th time) jennifer hudson awol. excuse me, hell going on?! ',negative,1,1,0
' @jayauna_man going game ? #tyeisha ',neutral,0,1,0
' fabio capello: "from ive days assure russia capable good result portugal tomorrow". ',positive,3,0,0
' "columbus" shoots bill murray zombieland funniest things ever. ',objective,0,0,0
' photo: fab find! jason wu satin scarlet clutch 5th! whoop whoop! (taken instagram) ',positive,0,0,0
' poland criticize 18th amendment. frame opened. topic earlier. #uprlka ',neutral,0,1,0
' "success saturday"- great time 4th annual girlfriend group celebration! @cheryl wood @chere cofield @vanessa maddox ',positive,1,0,0
' @cmpunk holds wwe title royal rumble, will held title 434 days. making 6th longest reign... ',neutral,1,0,0
' sag life: stacey, april, gabriel irieapril #mrandmrscheek happy wedding day gabe! @ north star ballroom ',positive,2,1,0
' victor cruz tuesday agent @giants "agreed structure" contract. @profootballtalk @nfl @espnfantasy ',objective,0,0,0
' best thing walking dead returning spartacus will too! (dammit, starz site january) ',positive,2,1,0
